"H01","H02","H03","H04","H06","H13","H15","H17","H25","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2019","Y2020","Y2021"
"P1101","Agricultural survey","FGOVBANK11","Agriculture, Hunting and related services","Loans and debts from: Government departments","South Africa","Current prices","R'000","Annually","400031","433136","221536","","","","","","","","","",""
"P1101","Agricultural survey","FLANDBA11","Agriculture, Hunting and related services","Loans and debts from: Land Bank","South Africa","Current prices","R'000","Annually","1929759","2077435","1842773","","","","","","","","","",""
"P1101","Agricultural survey","FPRIVP11","Agriculture, Hunting and related services","Loans and debts from: Private persons","South Africa","Current prices","R'000","Annually","16649747","20710983","20502010","","","","","","","","","",""
"P1101","Agricultural survey","FOTHFIN11","Agriculture, Hunting and related services","Loans and debts from: Other financial institutions","South Africa","Current prices","R'000","Annually","6498660","6742168","3749405","","","","","","","","","",""
"P1101","Agricultural survey","FTOTFARMDE11","Agriculture, Hunting and related services","Total farming debt","South Africa","Current prices","R'000","Annually","50908842","64424755","64078347","","","","","","","","","",""
"P1101","Agricultural survey","FFEMEMP11","Agriculture, Hunting and related services","Female","South Africa","Number of employees","Number","Annually","","","","","","","","","297562","295434","309505","308035","324904"
"P1101","Agricultural survey","FMALEEMP11","Agriculture, Hunting and related services","Male","South Africa","Number of employees","Number","Annually","","","","","","","","","442316","468994","455764","472022","476599"
"P1101","Agricultural survey","FTOTEMP11","Agriculture, Hunting and related services","Total","South Africa","Number of employees","Number","Annually","","","","","","","","","739878","764428","765269","780057","801503"
"P1101","Agricultural survey","IMAIZE11","Agriculture, Hunting and related services","Maize","South Africa","Current prices","R'000","Annually","","","","","","","","","","29672891","33540840","36035884","42728406"
"P1101","Agricultural survey","IWHEAT11","Agriculture, Hunting and related services","Wheat","South Africa","Current prices","R'000","Annually","","","","","","","","","","5745677","5798182","6043263","8488269"
"P1101","Agricultural survey","ISUGARCN11","Agriculture, Hunting and related services","Sugarcane","South Africa","Current prices","R'000","Annually","","","","","","","","","","7139011","4964623","7168780","9032822"
"P1101","Agricultural survey","IOTHFC11","Agriculture, Hunting and related services","Other field crops","South Africa","Current prices","R'000","Annually","","","","","","","","","","16633061","19346903","16250901","21111829"
"P1101","Agricultural survey","IVEGES11","Agriculture, Hunting and related services","Vegetables","South Africa","Current prices","R'000","Annually","","","","","","","","","","19795103","22867304","21938392","23713425"
"P1101","Agricultural survey","IFRUIT11","Agriculture, Hunting and related services","Fruits excluding grapes","South Africa","Current prices","R'000","Annually","","","","","","","","","","34479997","42165662","41295053","50353610"
"P1101","Agricultural survey","IGRAPES11","Agriculture, Hunting and related services","Grapes","South Africa","Current prices","R'000","Annually","","","","","","","","","","8098431","12595417","12026509","16414102"
"P1101","Agricultural survey","ISEEDS11","Agriculture, Hunting and related services","Seeds","South Africa","Current prices","R'000","Annually","","","","","","","","","","3364394","5365577","6198124","7129995"
"P1101","Agricultural survey","IOTHHT11","Agriculture, Hunting and related services","Other horticultural crops","South Africa","Current prices","R'000","Annually","","","","","","","","","","4805433","4533484","6956672","8485057"
"P1101","Agricultural survey","ICATTL11","Agriculture, Hunting and related services","Cattle","South Africa","Current prices","R'000","Annually","","","","","","","","","","41498693","51503345","47188497","50212120"
"P1101","Agricultural survey","ISHEEP11","Agriculture, Hunting and related services","Sheep","South Africa","Current prices","R'000","Annually","","","","","","","","","","6209583","7886633","7891568","9869006"
"P1101","Agricultural survey","INPIGS11","Agriculture, Hunting and related services","Pigs","South Africa","Current prices","R'000","Annually","","","","","","","","","","5411628","4100908","4134514","4651116"
"P1101","Agricultural survey","ICHICK11","Agriculture, Hunting and related services","Chicken: live","South Africa","Current prices","R'000","Annually","","","","","","","","","","14980694","14860515","15759812","17320628"
"P1101","Agricultural survey","INGAME11","Agriculture, Hunting and related services","Game","South Africa","Current prices","R'000","Annually","","","","","","","","","","2943135","2613656","",""
"P1101","Agricultural survey","IOTANI11","Agriculture, Hunting and related services","Other animals","South Africa","Current prices","R'000","Annually","","","","","","","","","","1554258","1754983","4301825","2800982"
"P1101","Agricultural survey","INEGGS11","Agriculture, Hunting and related services","Eggs","South Africa","Current prices","R'000","Annually","","","","","","","","","","7759160","11475886","12749919","14856157"
"P1101","Agricultural survey","INMILK11","Agriculture, Hunting and related services","Fresh milk and cream","South Africa","Current prices","R'000","Annually","","","","","","","","","","14508786","12890356","14133457","15069985"
"P1101","Agricultural survey","INBEEF11","Agriculture, Hunting and related services","Beef","South Africa","Current prices","R'000","Annually","","","","","","","","","","4613564","4603457","5022749","4537374"
"P1101","Agricultural survey","ICHCMT11","Agriculture, Hunting and related services","Chicken meat","South Africa","Current prices","R'000","Annually","","","","","","","","","","25277071","30924155","31759091","33063407"
"P1101","Agricultural survey","INWOOL11","Agriculture, Hunting and related services","Wool","South Africa","Current prices","R'000","Annually","","","","","","","","","","1907727","2419522","2487932","2448713"
"P1101","Agricultural survey","IDAIRY11","Agriculture, Hunting and related services","Dairy products","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","1090453","1177507"
"P1101","Agricultural survey","IOTANP11","Agriculture, Hunting and related services","Other animal product","South Africa","Current prices","R'000","Annually","","","","","","","","","","2102605","2572620","5066943","3328539"
"P1101","Agricultural survey","ISPARK11","Agriculture, Hunting and related services","Sparkling wine","South Africa","Current prices","R'000","Annually","","","","","","","","","","307475","370458","406141","442570"
"P1101","Agricultural survey","IREDWN11","Agriculture, Hunting and related services","Red wine","South Africa","Current prices","R'000","Annually","","","","","","","","","","1095702","1320512","1559705","1398663"
"P1101","Agricultural survey","IWHTWN11","Agriculture, Hunting and related services","White wine","South Africa","Current prices","R'000","Annually","","","","","","","","","","840331","476913","549595","575735"
"P1101","Agricultural survey","IROSE11","Agriculture, Hunting and related services","Rosé","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","111595","124778"
"P1101","Agricultural survey","IOTHEALC11","Agriculture, Hunting and related services","Other alcoholic beverages","South Africa","Current prices","R'000","Annually","","","","","","","","","","63151","277025","",""
"P1101","Agricultural survey","IFRUITJU11","Agriculture, Hunting and related services","Fruit juice","South Africa","Current prices","R'000","Annually","","","","","","","","","","","183458","524908","461683"
"P1101","Agricultural survey","IFRUITDR11","Agriculture, Hunting and related services","Dried fruit","South Africa","Current prices","R'000","Annually","","","","","","","","","","548975","674216","852876","973906"
"P1101","Agricultural survey","OTHEHOTP11","Agriculture, Hunting and related services","Other horticultural products","South Africa","Current prices","R'000","Annually","","","","","","","","","","585492","447569","334807","325137"
"P1101","Agricultural survey","IFORES11","Agriculture, Hunting and related services","Forestry","South Africa","Current prices","R'000","Annually","","","","","","","","","","671826","1378765","929607","606869"
"P1101","Agricultural survey","IFORAG11","Agriculture, Hunting and related services","Animal feed","South Africa","Current prices","R'000","Annually","","","","","","","","","","4326455","7425435","9259311","8861510"
"P1101","Agricultural survey","IORFER11","Agriculture, Hunting and related services","Organic fertilisers","South Africa","Current prices","R'000","Annually","","","","","","","","","","577709","747426","582736","595443"
"P1101","Agricultural survey","IOTAGR11","Agriculture, Hunting and related services","Other agricultural products","South Africa","Current prices","R'000","Annually","","","","","","","","","","1206091","1450626","1422758","1992457"
"P1101","Agricultural survey","FRFIVE11","Agriculture, Hunting and related services","Relative contribution of 5 largest enterprises","South Africa","Percentage","%","Annually","","","","","","","","8.3","8.1","7.1","8.1","7.8","6.9"
"P1101","Agricultural survey","FRTEN11","Agriculture, Hunting and related services","Relative contribution of 10 largest enterprises","South Africa","Percentage","%","Annually","","","","","","","","12.4","12.3","10.8","12.3","12","10.7"
"P1101","Agricultural survey","FRTWENTY11","Agriculture, Hunting and related services","Relative contribution of 20 largest enterprises","South Africa","Percentage","%","Annually","","","","","","","","16.7","16.8","15","16","16.3","14.5"
"P1101","Agricultural survey","FRFIFTY11","Agriculture, Hunting and related services","Relative contribution of 50 largest enterprises","South Africa","Percentage","%","Annually","","","","","","","","21.9","21.9","20.4","21.4","21.3","18.9"
"P1101","Agricultural survey","FRHUNDRED11","Agriculture, Hunting and related services","Relative contribution of 100 largest enterprises","South Africa","Percentage","%","Annually","","","","","","","","26.8","26.9","25.4","26.2","26.4","23.4"
"P1101","Agricultural survey","WCSALESERV11","Agriculture, Hunting and related services","Income from sales and services Western Cape","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","65095293","74931914"
"P1101","Agricultural survey","ECSALESERV11","Agriculture, Hunting and related services","Income from sales and services Eastern Cape","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","29521562","31964542"
"P1101","Agricultural survey","NCSALESERV11","Agriculture, Hunting and related services","Income from sales and services Northern Cape","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","16820242","17879199"
"P1101","Agricultural survey","FSSALESERV11","Agriculture, Hunting and related services","Income from sales and services Free State","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","42738748","51089492"
"P1101","Agricultural survey","KZNSALESERV11","Agriculture, Hunting and related services","Income from sales and services Kwazulu-Natal","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","37184941","40404395"
"P1101","Agricultural survey","NWSALESERV11","Agriculture, Hunting and related services","Income from sales and services North West","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","40387774","45660760"
"P1101","Agricultural survey","GPSALESERV11","Agriculture, Hunting and related services","Income from sales and services Gauteng","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","43820565","46393832"
"P1101","Agricultural survey","MPSALESERV11","Agriculture, Hunting and related services","Income from sales and services Mpumalanga","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","36805241","43938541"
"P1101","Agricultural survey","LPSALESERV11","Agriculture, Hunting and related services","Income from sales and services Limpopo","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","29268921","33596554"
"P1101","Agricultural survey","TOTALSALESERV11","Agriculture, Hunting and related services","Income from sales and services Total","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","341643287","385859229"
